index,slice_ind,sub_slice_ind,slice,sub_slice,level,value,title,description
4.3.4,4,4.3,Identify Challenges,Limiting Factors,4,20,Local or Traditional Ecological Knowledge included,Full incorporation of additional local knowledge in identifying specific limiting factor to be addressed
4.3.5,4,4.3,Identify Challenges,Limiting Factors,5,20,Species-specific limiting factor(s) identified,"Limiting factor identified and refined at scale sufficient to design adaptive research or initiate targeted conservation action (e.g., wood encroachment removal from nonbreeding season grasslands)"
5.1.1,5,5.1,Strategize Recovery,Landscape Opportunities,1,20,Prioritize alignment with broad-scale threat reduction campaigns,"From allied partner opportunity analysis (4.2.5), prioritize existing broadscale efforts most compatible with meeting species-specific needs (breeding and/or nonbreeding)"
5.1.2,5,5.1,Strategize Recovery,Landscape Opportunities,2,20,Identify compatible allied partnership goals and objectives,"Listen carefully, understand aligned partner goals and objectives to determine entry points for mutual-benefit strategic planning"
5.1.3,5,5.1,Strategize Recovery,Landscape Opportunities,3,20,Identify beneficial practices for working with outside partners,Draw from social science expertise on strategies for alignment with partners with different goals and objectives than bird species recovery
5.1.4,5,5.1,Strategize Recovery,Landscape Opportunities,4,20,Develop strategies for aligning bird objectives with allies,"Identify programs (entry points) most closely aligned with species objectives (e.g., CRP in Food Bill, rotational grazing, dynamic landscape forest harvest planning, etc.)"
5.1.5,5,5.1,Strategize Recovery,Landscape Opportunities,5,20,Subcommittee(s) established to influence/work with partner opportunities,"Create dedicated and intentional structure within working group to continue to develop relationships with allies (e.g., collective representative to lobby policy, presence on forestry councils, etc.)"
5.2.1,5,5.2,Strategize Recovery,Limiting Factor Mitigation,1,20,Establish species population goals and objectives,"How is ""recovery"" defined? Population goals as either numbers or trends, ideally identified both rangewide and parsed by focus areas"
5.2.2,5,5.2,Strategize Recovery,Limiting Factor Mitigation,2,20,Develop influence diagram/results chain to address limiting factor,"Diagram of chain of events (e.g., Open Standards)—including threats, barriers, actions, and issues—leading to mitigation or elimination of limiting factor(s)"
5.2.3,5,5.2,Strategize Recovery,Limiting Factor Mitigation,3,20,Incorporate human well-being objectives into results chain,Results chain (cf. Open Standards) includes human well-being or affected community benefits that accrue from conservation actions
5.2.4,5,5.2,Strategize Recovery,Limiting Factor Mitigation,4,20,"Determine sequential stages, progress metrics, research & monitoring plan","Results chain clearly identifies sequential actions or research, inflection points for adaptive decisions, intermediate and final evaluation metrics"
5.2.5,5,5.2,Strategize Recovery,Limiting Factor Mitigation,5,20,Estimate costs required to reach limiting factor mitigation,Estimates of the costs of each stage of research/mitigation plan
5.3.1,5,5.3,Strategize Recovery,Partnerships and Funding,1,20,Full annual cycle conservation plan completed,Plan includes review of biology and human dimensions profile; threats analysis; limiting factor analysis; research plan; strategies to reduce threats and mitigate limiting factors
5.3.2,5,5.3,Strategize Recovery,Partnerships and Funding,2,20,Full annual cycle conservation investment plan completed,"As above, but adds cost of investments of recovery phases; plan for scaling up conservation actions; monitoring and evaluation strategy "
5.3.3,5,5.3,Strategize Recovery,Partnerships and Funding,3,20,Funding source and partnership analysis completed,"What agencies, policies, or programs are potential sources of funding for different components of research/recovery conservation plan?"
5.3.4,5,5.3,Strategize Recovery,Partnerships and Funding,4,20,Strategy to contact and court funding sources,Communication and outreach strategy to secure funding for plan components
5.3.5,5,5.3,Strategize Recovery,Partnerships and Funding,5,20,Funding secured to proceed with conservation plan implementation,Plan includes strategy for moving forward under scenarios of partial funding; ideally guided by results chain breakdown in 5.2.4 & 5.2.5
6.1.1,6,6.1,Implement Action,Adaptive Research,1,20,Focus area habitat restoration research initiated,Habitat management need not be delayed until full plan completion if research is needed to test limiting factor hypotheses
6.1.2,6,6.1,Implement Action,Adaptive Research,2,20,Habitat restoration effectiveness confirmed,"Monitoring confirms effectiveness of habitat restoration (or other local action, e.g. hunting management) as a means of mitigating limiting factor"
6.1.3,6,6.1,Implement Action,Adaptive Research,3,20,Research/restoration conducted with affected community involvement,"Full participation of affected community as partners in research and habitat manipulations (or other local actions, e.g. hunting management)"
6.1.4,6,6.1,Implement Action,Adaptive Research,4,20,Scale of restoration/management strategy expanded,Initial success of mitigation strategy suggests expanding strategy to other localities within or outside focus area; cycle 6.1.1 to 6.1.4 repeats
6.1.5,6,6.1,Implement Action,Adaptive Research,5,20,Monitoring of both social and bird population outcomes,Monitoring continues to confirm success of limiting factor mitigation OR requires adaptive changes that may necessitate revisiting other segments of the wheel
6.2.1,6,6.2,Implement Action,Ecosystem Change,1,20,Partnership strategies for broad-scale change initiated,"Broad-scale threat reduction strategies initiated through partnerships with allied campaigns (e.g., grassland protection/restoration, CRP, feral cat control)"
6.2.2,6,6.2,Implement Action,Ecosystem Change,2,20,Monitoring of species population response to broad threat mitigation,Are target bird species populations responding positively to broad-scale threat mitigation?
6.2.3,6,6.2,Implement Action,Ecosystem Change,3,20,Species requirements integrated successfully into ecosystem conservation,"Based on species population response, do inclusion of species-specific requirements need to be re-negotiated?"
6.2.4,6,6.2,Implement Action,Ecosystem Change,4,20,Monitoring/assessment of species group/allied campaign relationship,Social science analysis to evaluate relationship between bird species working group and allies; recommendations for adaptive changes
6.2.5,6,6.2,Implement Action,Ecosystem Change,5,20,Effective communication of success of ecosystem partnership,"Continued reinforcement of positive effects of bird species/threats reduction campaign alliance (e.g., flood control, drinking water, human health improvements, etc.)"
6.3.1,6,6.3,Implement Action,Sustainability,1,20,Focus area recovery scaled up to rangewide population recovery,Initial success mitigating limiting factors within focus areas scaled up to achieve rangewide population recovery; may require recycling iteratively through wheel criteria
6.3.2,6,6.3,Implement Action,Sustainability,2,20,Rangewide adaptive monitoring plan in place,Long-term monitoring plan designed to detect species vulnerabilities (new limiting factors) and trigger adaptive recovery response 
6.3.3,6,6.3,Implement Action,Sustainability,3,20,"Final reporting, documentation, and outreach","Documentation of process, barriers and solutions, and successes completed to provide guidance to other species/ecosystem recovery efforts"
6.3.4,6,6.3,Implement Action,Sustainability,4,20,Network and capacity building,"Attention given throughout recovery process to building local community capacity (biology and sociology training), education for next generation of conservationists"
6.3.5,6,6.3,Implement Action,Sustainability,5,20,Established relationships transcend goals/issues,"Established individual and community relationships and problem-solving orientation transcend recovery process, can be leveraged for future conservation action"
